Condición (Restricción),Confianza (Fracción),Confianza,Cobertura,Soporte (Fracción),Soporte,Lift,Clase,Regla Completa,Pasa Filtro Final
Experiencia_Lider = Media Y Presupuesto = Medio Y Metodologia = Agil Y Tamano_Equipo = Mediano,9/15,0.6,15,15/1000,0.015,1.1952,No,SI Experiencia_Lider = Media Y Presupuesto = Medio Y Metodologia = Agil Y Tamano_Equipo = Mediano  ENTONCES  Exito_Proyecto = No,False
Presupuesto = Medio Y Experiencia_Lider = Baja Y Metodologia = Agil Y Tamano_Equipo = Pequeño,9/15,0.6,15,15/1000,0.015,1.1952,No,SI Presupuesto = Medio Y Experiencia_Lider = Baja Y Metodologia = Agil Y Tamano_Equipo = Pequeño  ENTONCES  Exito_Proyecto = No,False
Metodologia = Hibrida Y Experiencia_Lider = Alta Y Tamano_Equipo = Grande Y Presupuesto = Bajo,6/10,0.6,10,10/1000,0.01,1.2048,Si,SI Metodologia = Hibrida Y Experiencia_Lider = Alta Y Tamano_Equipo = Grande Y Presupuesto = Bajo  ENTONCES  Exito_Proyecto = Si,False
Experiencia_Lider = Baja Y Presupuesto = Bajo Y Metodologia = Agil Y Tamano_Equipo = Mediano,7/12,0.5833,12,12/1000,0.012,1.162,No,SI Experiencia_Lider = Baja Y Presupuesto = Bajo Y Metodologia = Agil Y Tamano_Equipo = Mediano  ENTONCES  Exito_Proyecto = No,False
Tamano_Equipo = Mediano Y Presupuesto = Medio Y Experiencia_Lider = Baja Y Metodologia = Agil,7/12,0.5833,12,12/1000,0.012,1.1714,Si,SI Tamano_Equipo = Mediano Y Presupuesto = Medio Y Experiencia_Lider = Baja Y Metodologia = Agil  ENTONCES  Exito_Proyecto = Si,False
Metodologia = Agil Y Tamano_Equipo = Pequeño Y Presupuesto = Bajo Y Experiencia_Lider = Baja,7/12,0.5833,12,12/1000,0.012,1.1714,Si,SI Metodologia = Agil Y Tamano_Equipo = Pequeño Y Presupuesto = Bajo Y Experiencia_Lider = Baja  ENTONCES  Exito_Proyecto = Si,False
Presupuesto = Medio Y Experiencia_Lider = Alta Y Tamano_Equipo = Pequeño Y Metodologia = Cascada,11/19,0.5789,19,19/1000,0.019,1.1625,Si,SI Presupuesto = Medio Y Experiencia_Lider = Alta Y Tamano_Equipo = Pequeño Y Metodologia = Cascada  ENTONCES  Exito_Proyecto = Si,False
Presupuesto = Alto Y Experiencia_Lider = Alta Y Tamano_Equipo = Grande Y Metodologia = Cascada,8/14,0.5714,14,14/1000,0.014,1.1474,Si,SI Presupuesto = Alto Y Experiencia_Lider = Alta Y Tamano_Equipo = Grande Y Metodologia = Cascada  ENTONCES  Exito_Proyecto = Si,False
Metodologia = Hibrida Y Tamano_Equipo = Grande Y Presupuesto = Alto Y Experiencia_Lider = Media,5/9,0.5556,9,9/1000,0.009,1.1067,No,SI Metodologia = Hibrida Y Tamano_Equipo = Grande Y Presupuesto = Alto Y Experiencia_Lider = Media  ENTONCES  Exito_Proyecto = No,False
Experiencia_Lider = Media Y Presupuesto = Medio Y Metodologia = Cascada Y Tamano_Equipo = Grande,5/9,0.5556,9,9/1000,0.009,1.1156,Si,SI Experiencia_Lider = Media Y Presupuesto = Medio Y Metodologia = Cascada Y Tamano_Equipo = Grande  ENTONCES  Exito_Proyecto = Si,False
Metodologia = Hibrida Y Presupuesto = Medio Y Tamano_Equipo = Pequeño Y Experiencia_Lider = Media,11/20,0.55,20,20/1000,0.02,1.0956,No,SI Metodologia = Hibrida Y Presupuesto = Medio Y Tamano_Equipo = Pequeño Y Experiencia_Lider = Media  ENTONCES  Exito_Proyecto = No,False
Metodologia = Hibrida Y Experiencia_Lider = Media Y Tamano_Equipo = Mediano Y Presupuesto = Alto,6/11,0.5455,11,11/1000,0.011,1.0953,Si,SI Metodologia = Hibrida Y Experiencia_Lider = Media Y Tamano_Equipo = Mediano Y Presupuesto = Alto  ENTONCES  Exito_Proyecto = Si,False
Experiencia_Lider = Media Y Metodologia = Agil Y Presupuesto = Bajo Y Tamano_Equipo = Pequeño,6/11,0.5455,11,11/1000,0.011,1.0953,Si,SI Experiencia_Lider = Media Y Metodologia = Agil Y Presupuesto = Bajo Y Tamano_Equipo = Pequeño  ENTONCES  Exito_Proyecto = Si,False
Tamano_Equipo = Mediano Y Experiencia_Lider = Baja Y Metodologia = Cascada Y Presupuesto = Alto,6/11,0.5455,11,11/1000,0.011,1.0953,Si,SI Tamano_Equipo = Mediano Y Experiencia_Lider = Baja Y Metodologia = Cascada Y Presupuesto = Alto  ENTONCES  Exito_Proyecto = Si,False
Metodologia = Hibrida Y Presupuesto = Bajo Y Tamano_Equipo = Pequeño Y Experiencia_Lider = Baja,7/13,0.5385,13,13/1000,0.013,1.0726,No,SI Metodologia = Hibrida Y Presupuesto = Bajo Y Tamano_Equipo = Pequeño Y Experiencia_Lider = Baja  ENTONCES  Exito_Proyecto = No,False
Metodologia = Hibrida Y Tamano_Equipo = Pequeño Y Experiencia_Lider = Alta Y Presupuesto = Medio,7/13,0.5385,13,13/1000,0.013,1.0812,Si,SI Metodologia = Hibrida Y Tamano_Equipo = Pequeño Y Experiencia_Lider = Alta Y Presupuesto = Medio  ENTONCES  Exito_Proyecto = Si,False
Presupuesto = Medio Y Experiencia_Lider = Media Y Tamano_Equipo = Pequeño Y Metodologia = Cascada,7/13,0.5385,13,13/1000,0.013,1.0812,Si,SI Presupuesto = Medio Y Experiencia_Lider = Media Y Tamano_Equipo = Pequeño Y Metodologia = Cascada  ENTONCES  Exito_Proyecto = Si,False
Tamano_Equipo = Mediano Y Presupuesto = Medio Y Experiencia_Lider = Baja Y Metodologia = Hibrida,7/13,0.5385,13,13/1000,0.013,1.0812,Si,SI Tamano_Equipo = Mediano Y Presupuesto = Medio Y Experiencia_Lider = Baja Y Metodologia = Hibrida  ENTONCES  Exito_Proyecto = Si,False
Metodologia = Hibrida Y Experiencia_Lider = Alta Y Presupuesto = Alto Y Tamano_Equipo = Grande,8/15,0.5333,15,15/1000,0.015,1.071,Si,SI Metodologia = Hibrida Y Experiencia_Lider = Alta Y Presupuesto = Alto Y Tamano_Equipo = Grande  ENTONCES  Exito_Proyecto = Si,False
Metodologia = Hibrida Y Tamano_Equipo = Mediano Y Experiencia_Lider = Media Y Presupuesto = Bajo,5/10,0.5,10,10/1000,0.01,0.996,No,SI Metodologia = Hibrida Y Tamano_Equipo = Mediano Y Experiencia_Lider = Media Y Presupuesto = Bajo  ENTONCES  Exito_Proyecto = No,False
Metodologia = Hibrida Y Experiencia_Lider = Alta Y Tamano_Equipo = Grande Y Presupuesto = Medio,6/12,0.5,12,12/1000,0.012,0.996,No,SI Metodologia = Hibrida Y Experiencia_Lider = Alta Y Tamano_Equipo = Grande Y Presupuesto = Medio  ENTONCES  Exito_Proyecto = No,False
Metodologia = Cascada Y Tamano_Equipo = Grande Y Experiencia_Lider = Media Y Presupuesto = Alto,5/10,0.5,10,10/1000,0.01,0.996,No,SI Metodologia = Cascada Y Tamano_Equipo = Grande Y Experiencia_Lider = Media Y Presupuesto = Alto  ENTONCES  Exito_Proyecto = No,False
Presupuesto = Medio Y Metodologia = Cascada Y Experiencia_Lider = Media Y Tamano_Equipo = Mediano,6/12,0.5,12,12/1000,0.012,0.996,No,SI Presupuesto = Medio Y Metodologia = Cascada Y Experiencia_Lider = Media Y Tamano_Equipo = Mediano  ENTONCES  Exito_Proyecto = No,False
Metodologia = Hibrida Y Tamano_Equipo = Mediano Y Presupuesto = Medio Y Experiencia_Lider = Media,4/8,0.5,8,8/1000,0.008,0.996,No,SI Metodologia = Hibrida Y Tamano_Equipo = Mediano Y Presupuesto = Medio Y Experiencia_Lider = Media  ENTONCES  Exito_Proyecto = No,False
Metodologia = Hibrida Y Experiencia_Lider = Alta Y Presupuesto = Bajo Y Tamano_Equipo = Pequeño,7/14,0.5,14,14/1000,0.014,0.996,No,SI Metodologia = Hibrida Y Experiencia_Lider = Alta Y Presupuesto = Bajo Y Tamano_Equipo = Pequeño  ENTONCES  Exito_Proyecto = No,False
Experiencia_Lider = Media Y Presupuesto = Medio Y Tamano_Equipo = Mediano Y Metodologia = Cascada,6/12,0.5,12,12/1000,0.012,1.004,Si,SI Experiencia_Lider = Media Y Presupuesto = Medio Y Tamano_Equipo = Mediano Y Metodologia = Cascada  ENTONCES  Exito_Proyecto = Si,False
Experiencia_Lider = Media Y Presupuesto = Alto Y Metodologia = Cascada Y Tamano_Equipo = Grande,5/10,0.5,10,10/1000,0.01,1.004,Si,SI Experiencia_Lider = Media Y Presupuesto = Alto Y Metodologia = Cascada Y Tamano_Equipo = Grande  ENTONCES  Exito_Proyecto = Si,False
Metodologia = Hibrida Y Tamano_Equipo = Pequeño Y Presupuesto = Bajo Y Experiencia_Lider = Alta,7/14,0.5,14,14/1000,0.014,1.004,Si,SI Metodologia = Hibrida Y Tamano_Equipo = Pequeño Y Presupuesto = Bajo Y Experiencia_Lider = Alta  ENTONCES  Exito_Proyecto = Si,False
Experiencia_Lider = Media Y Presupuesto = Medio Y Metodologia = Hibrida Y Tamano_Equipo = Mediano,4/8,0.5,8,8/1000,0.008,1.004,Si,SI Experiencia_Lider = Media Y Presupuesto = Medio Y Metodologia = Hibrida Y Tamano_Equipo = Mediano  ENTONCES  Exito_Proyecto = Si,False
Tamano_Equipo = Mediano Y Metodologia = Agil Y Experiencia_Lider = Media Y Presupuesto = Alto,5/10,0.5,10,10/1000,0.01,1.004,Si,SI Tamano_Equipo = Mediano Y Metodologia = Agil Y Experiencia_Lider = Media Y Presupuesto = Alto  ENTONCES  Exito_Proyecto = Si,False
Experiencia_Lider = Baja Y Tamano_Equipo = Mediano Y Metodologia = Cascada Y Presupuesto = Medio,7/15,0.4667,15,15/1000,0.015,0.9296,No,SI Experiencia_Lider = Baja Y Tamano_Equipo = Mediano Y Metodologia = Cascada Y Presupuesto = Medio  ENTONCES  Exito_Proyecto = No,False
Metodologia = Hibrida Y Tamano_Equipo = Grande Y Presupuesto = Alto Y Experiencia_Lider = Alta,7/15,0.4667,15,15/1000,0.015,0.9296,No,SI Metodologia = Hibrida Y Tamano_Equipo = Grande Y Presupuesto = Alto Y Experiencia_Lider = Alta  ENTONCES  Exito_Proyecto = No,False
Presupuesto = Medio Y Metodologia = Hibrida Y Experiencia_Lider = Baja Y Tamano_Equipo = Mediano,6/13,0.4615,13,13/1000,0.013,0.9194,No,SI Presupuesto = Medio Y Metodologia = Hibrida Y Experiencia_Lider = Baja Y Tamano_Equipo = Mediano  ENTONCES  Exito_Proyecto = No,False
Presupuesto = Medio Y Metodologia = Cascada Y Tamano_Equipo = Pequeño Y Experiencia_Lider = Media,6/13,0.4615,13,13/1000,0.013,0.9194,No,SI Presupuesto = Medio Y Metodologia = Cascada Y Tamano_Equipo = Pequeño Y Experiencia_Lider = Media  ENTONCES  Exito_Proyecto = No,False
Experiencia_Lider = Baja Y Tamano_Equipo = Mediano Y Presupuesto = Alto Y Metodologia = Cascada,5/11,0.4545,11,11/1000,0.011,0.9055,No,SI Experiencia_Lider = Baja Y Tamano_Equipo = Mediano Y Presupuesto = Alto Y Metodologia = Cascada  ENTONCES  Exito_Proyecto = No,False
Experiencia_Lider = Media Y Presupuesto = Bajo Y Tamano_Equipo = Pequeño Y Metodologia = Agil,5/11,0.4545,11,11/1000,0.011,0.9055,No,SI Experiencia_Lider = Media Y Presupuesto = Bajo Y Tamano_Equipo = Pequeño Y Metodologia = Agil  ENTONCES  Exito_Proyecto = No,False
Metodologia = Hibrida Y Experiencia_Lider = Media Y Presupuesto = Medio Y Tamano_Equipo = Pequeño,9/20,0.45,20,20/1000,0.02,0.9036,Si,SI Metodologia = Hibrida Y Experiencia_Lider = Media Y Presupuesto = Medio Y Tamano_Equipo = Pequeño  ENTONCES  Exito_Proyecto = Si,False
Presupuesto = Medio Y Metodologia = Cascada Y Tamano_Equipo = Grande Y Experiencia_Lider = Media,4/9,0.4444,9,9/1000,0.009,0.8853,No,SI Presupuesto = Medio Y Metodologia = Cascada Y Tamano_Equipo = Grande Y Experiencia_Lider = Media  ENTONCES  Exito_Proyecto = No,False
